股票代码,股票名称,最终资产,总收益率,胜率,交易次数(对),最大回撤,夏普比率,总手续费,挂单重试(买/卖)
002882,金龙羽,148697.28,48.70%,33.73%,83,48.06%,0.23,5247.71,买8 | 卖0
002610,ST爱康,148572.78,48.57%,42.55%,94,80.59%,0.19,16073.24,买1 | 卖30
300537,广信材料,148280.96,48.28%,36.59%,82,56.58%,0.25,5659.03,买14 | 卖2
002959,小熊电器,148125.95,48.13%,43.40%,53,58.06%,0.26,5038.08,买5 | 卖0
002866,传艺科技,148108.15,48.11%,35.71%,70,66.30%,0.24,6825.84,买9 | 卖0
300299,富春股份,148093.22,48.09%,30.58%,121,84.80%,0.24,15072.69,买1 | 卖2
003020,立方制药,148084.46,48.08%,33.33%,48,41.22%,0.31,4517.53,买3 | 卖0
300551,古鳌科技,147627.71,47.63%,35.37%,82,66.88%,0.23,5895.33,买19 | 卖1
000997,新 大 陆,147625.97,47.63%,37.55%,253,83.32%,0.12,39080.07,买1 | 卖0
300194,福安药业,147583.63,47.58%,38.17%,131,48.68%,0.15,12798.39,买2 | 卖0
301595,太力科技,147503.9,47.50%,66.67%,3,13.11%,1.48,243.11,买0 | 卖0
301068,大地海洋,147449.73,47.45%,42.86%,35,44.93%,0.35,2736.31,买1 | 卖1
300925,法本信息,147359.74,47.36%,38.64%,44,60.66%,0.33,2287.24,买1 | 卖0
002304,洋河股份,147198.44,47.20%,33.56%,149,50.68%,0.09,14833.58,买0 | 卖0
000597,东北制药,147060.88,47.06%,34.66%,277,77.61%,0.12,28951.27,买10 | 卖0
300584,海辰药业,146913.23,46.91%,31.71%,82,58.81%,0.26,6156.82,买10 | 卖0
300433,蓝思科技,146841.3,46.84%,38.38%,99,66.25%,0.19,5058.64,买15 | 卖0
300835,龙磁科技,146636.18,46.64%,31.48%,54,53.46%,0.29,3749.83,买12 | 卖1
001359,平安电工,146572.68,46.57%,33.33%,18,22.35%,0.68,1369.33,买0 | 卖0
001298,好上好,146517.53,46.52%,33.33%,30,43.56%,0.42,2409.51,买2 | 卖0
301060,兰卫医学,146479.78,46.48%,41.67%,36,41.26%,0.36,2721.23,买0 | 卖0
301081,严牌股份,146431.56,46.43%,39.47%,38,48.30%,0.35,2861.49,买0 | 卖0
300068,南都电源,146228.29,46.23%,36.11%,144,64.50%,0.17,12725.69,买0 | 卖1
600023,浙能电力,145931.65,45.93%,35.59%,118,45.22%,0.11,12386.33,买0 | 卖0
003039,顺控发展,145837.82,45.84%,38.64%,44,72.65%,0.31,5493.17,买8 | 卖0
300149,睿智医药,145664.93,45.66%,29.23%,130,71.12%,0.19,12367.11,买1 | 卖1
300534,陇神戎发,145662.3,45.66%,39.76%,83,74.00%,0.24,5512.76,买14 | 卖0
002393,力生制药,145647.05,45.65%,39.55%,134,41.96%,0.09,11775.96,买0 | 卖0
301626,苏州天脉,145580.05,45.58%,36.36%,11,25.25%,0.87,872.96,买0 | 卖0
002254,泰和新材,145023.2,45.02%,36.59%,164,44.55%,0.1,15867.83,买3 | 卖0
300623,捷捷微电,144875.29,44.88%,39.76%,83,47.42%,0.21,5516.7,买11 | 卖0
300465,高伟达,144692.41,44.69%,31.31%,99,71.96%,0.24,7534.6,买21 | 卖5
002831,裕同科技,144471.58,44.47%,39.51%,81,30.94%,0.16,6333.44,买6 | 卖0
301015,百洋医药,144443.0,44.44%,40.54%,37,33.13%,0.32,3273.97,买0 | 卖0
300850,新强联,144314.89,44.31%,33.33%,57,74.21%,0.3,4567.1,买6 | 卖0
002598,山东章鼓,144298.88,44.30%,37.21%,129,46.99%,0.14,10557.06,买2 | 卖1
